description	enabled	ladder	min diff	version	op	param	value	*stat	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	*mod 1 skillname	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	*mod 2 skillname	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	*mod 3 skillname	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	*mod 4 skillname	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	*mod 5 skillname	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	*b mod 1 skillname	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	*b mod 2 skillname	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	*b mod 3 skillname	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	*b mod 4 skillname	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	*b mod 5 skillname	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	*c mod 1 skillname	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	*c mod 2 skillname	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	*c mod 3 skillname	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	*c mod 4 skillname	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	*c mod 5 skillname	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Anointment - Magic Weapon 35	1			100	18	286	35			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-35	-35	hit-skill		Monsoon	245	1	40																																																																																	0
Anointment - Magic Weapon 36	1			100	18	286	36			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-36	-36	hit-skill		Cataclysm	249	1	40																																																																																	0
Anointment - Magic Weapon 37	1			100	18	286	37			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-37	-37	hit-skill		Magic Enhanced Axe	624	20	25																																																																																	0
Anointment - Magic Weapon 38	1			100	18	286	38			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-38	-38	gethit-skill		Frozen Armor	40	4	50																																																																																	0
Anointment - Magic Weapon 39	1			100	18	286	39			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-39	-39	gethit-skill		Static Field	54	33	50																																																																																	0
Anointment - Magic Weapon 40	1			100	18	286	40			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-40	-40	gethit-skill		Shiver Armor	50	4	50																																																																																	0
Anointment - Magic Weapon 41	1			100	18	286	41			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-41	-41	gethit-skill		Chilling Armor	60	4	50																																																																																	0
Anointment - Magic Weapon 42	1			100	18	286	42			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-42	-42	gethit-skill		Hydra	62	33	50																																																																																	0
Anointment - Magic Weapon 43	1			100	18	286	43			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-43	-43	reduce-ac				75	75	swing2				30	30	dmg%				150	175																																																																					0
Anointment - Magic Weapon 44	1			100	18	286	44			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-44	-44	cold-max				501	1000	fire-max				501	1000	ltng-max				501	1000																																																																					0
Anointment - Magic Weapon 45	1			100	18	286	45			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-45	-45	regen				401	800	regen-stam				25	25																																																																											0
Anointment - Magic Weapon 46	1			100	18	286	46			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-46	-46	deadly				31	40																																																																																	0
Anointment - Magic Weapon 47	1			100	18	286	47			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-47	-47	crush				31	40																																																																																	0
Anointment - Magic Weapon 48	1			100	18	286	48			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-48	-48	regen-mana				101	150																																																																																	0
Anointment - Magic Weapon 49	1			100	18	286	49			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-49	-49	kill-skill		Spike Nova Proc	608	15	25																																																																																	0
Anointment - Magic Weapon 50	1			100	18	286	50			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-50	-50	hit-skill		Axe Proc	609	20	25																																																																																	0
Anointment - Magic Weapon 51	1			100	18	286	51			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-51	-51	hit-skill		Fire Enhanced Axe	620	20	25																																																																																	0
Anointment - Magic Weapon 52	1			100	18	286	52			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-52	-52	hit-skill		Lower Resist	91	4	45																																																																																	0
Anointment - Magic Weapon 53	1			100	18	286	53			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-53	-53	hit-skill		Poison Mastery	372	4	45																																																																																	0
Anointment - Magic Weapon 54	1			100	18	286	54			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-54	-54	pierce-fire				36	50																																																																																	0
Anointment - Magic Weapon 55	1			100	18	286	55			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-55	-55	pierce-ltng				36	50																																																																																	0
Anointment - Magic Weapon 56	1			100	18	286	56			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-56	-56	pierce-cold				36	50																																																																																	0
Anointment - Magic Weapon 57	1			100	18	286	57			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-57	-57	pierce-pois				36	50																																																																																	0
Anointment - Magic Weapon 58	1			100	18	286	58			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-58	-58	extra-fire				61	80																																																																																	0
Anointment - Magic Weapon 59	1			100	18	286	59			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-59	-59	extra-ltng				61	80																																																																																	0
Anointment - Magic Weapon 60	1			100	18	286	60			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-60	-60	extra-cold				61	80																																																																																	0
Anointment - Magic Weapon 61	1			100	18	286	61			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-61	-61	extra-pois				61	80																																																																																	0
Anointment - Magic Weapon 62	1			100	18	286	62			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-62	-62	extra-mag2				61	80																																																																																	0
Anointment - Magic Weapon 63	1			100	18	286	63			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-63	-63	extra-wind				61	80																																																																																	0
Anointment - Magic Weapon 64	1			100	18	286	64			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-64	-64	extra-summ				41	50																																																																																	0
Anointment - Magic Weapon 65	1			100	18	286	65			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-65	-65	life-on-striking				6	10	mana-on-striking				5	8																																																																											0
Anointment - Magic Weapon 66	1			100	18	286	66			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-66	-66	oskill		Claw Mastery	252	1	4																																																																																	0
Anointment - Magic Weapon 67	1			100	18	286	67			1	"weap,mag"							useitem				anointed				1	1	anointed_dummy				-67	-67	sock				3	3																																																																																	0
Anointment - Magic Body Armor 1	1			100	18	286	1			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-1	-1	red-dmg				21	30																																																																																	0
Anointment - Magic Body Armor 2	1			100	18	286	2			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-2	-2	red-mag				21	30																																																																																	0
Anointment - Magic Body Armor 3	1			100	18	286	3			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-3	-3	thorns				800	1500																																																																																	0
Anointment - Magic Body Armor 4	1			100	18	286	4			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-4	-4	balance3				50	50																																																																																	0
Anointment - Magic Body Armor 5	1			100	18	286	5			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-5	-5	regen				501	1000																																																																																	0
Anointment - Magic Body Armor 6	1			100	18	286	6			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-6	-6	light				16	25																																																																																	0
Anointment - Magic Body Armor 7	1			100	18	286	7			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-7	-7	hp				151	250																																																																																	0
Anointment - Magic Body Armor 8	1			100	18	286	8			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-8	-8	str				21	30	strpercent				21	30																																																																											0
Anointment - Magic Body Armor 9	1			100	18	286	9			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-9	-9	dex				21	30	dexpercent				21	30																																																																											0
Anointment - Magic Body Armor 10	1			100	18	286	10			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-10	-10	enr				21	30	enepercent				21	30																																																																											0
Anointment - Magic Body Armor 11	1			100	18	286	11			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-11	-11	res-all				35	35	res-all-max				3	5																																																																											0
Anointment - Magic Body Armor 12	1			100	18	286	12			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-12	-12	hp/lvl			12																																																																																			0
Anointment - Magic Body Armor 13	1			100	18	286	13			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-13	-13	indestruct				1	1																																																																																	0
Anointment - Magic Body Armor 14	1			100	18	286	14			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-14	-14	red-dmg%				18	25	thorns/lvl			192			ac%				251	325																																																																					0
Anointment - Magic Body Armor 15	1			100	18	286	15			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-15	-15	oskill		Dodge	13	1	10																																																																																	0
Anointment - Magic Body Armor 16	1			100	18	286	16			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-16	-16	oskill		Sharpened Focus	17	1	10	oskill		Inner Sight	8	1	10																																																																											0
Anointment - Magic Body Armor 17	1			100	18	286	17			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-17	-17	oskill		Teleport	42	1	4																																																																																	0
Anointment - Magic Body Armor 18	1			100	18	286	18			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-18	-18	oskill		Fire Mastery	61	1	10																																																																																	0
Anointment - Magic Body Armor 19	1			100	18	286	19			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-19	-19	oskill		Lightning Mastery	63	1	10																																																																																	0
Anointment - Magic Body Armor 20	1			100	18	286	20			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-20	-20	oskill		Cold Mastery	370	1	10																																																																																	0
Anointment - Magic Body Armor 21	1			100	18	286	21			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-21	-21	oskill		Poison Mastery Passive	409	1	10																																																																																	0
Anointment - Magic Body Armor 22	1			100	18	286	22			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-22	-22	oskill		Amplify Damage	66	1	8																																																																																	0
Anointment - Magic Body Armor 23	1			100	18	286	23			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-23	-23	oskill		Clay Golem	75	8	12	oskill		Golem Mastery	79	6	8																																																																											0
Anointment - Magic Body Armor 24	1			100	18	286	24			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-24	-24	oskill		Raise Skeleton	95	8	12	oskill		Skeleton Mastery	69	6	8																																																																											0
Anointment - Magic Body Armor 25	1			100	18	286	25			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-25	-25	oskill		BloodGolem	85	8	12	oskill		Golem Mastery	79	6	8																																																																											0
Anointment - Magic Body Armor 26	1			100	18	286	26			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-26	-26	oskill		Decrepify	87	1	4																																																																																	0
Anointment - Magic Body Armor 27	1			100	18	286	27			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-27	-27	oskill		FireGolem	94	8	12	oskill		Golem Mastery	79	6	8																																																																											0
Anointment - Magic Body Armor 28	1			100	18	286	28			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-28	-28	oskill		Raise Skeletal Mage	80	8	12	oskill		Skeleton Mastery	69	6	8																																																																											0
Anointment - Magic Body Armor 29	1			100	18	286	29			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-29	-29	oskill		Lower Resist	91	1	8																																																																																	0
Anointment - Magic Body Armor 30	1			100	18	286	30			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-30	-30	oskill		Poison Mastery	372	1	8																																																																																	0
Anointment - Magic Body Armor 31	1			100	18	286	31			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-31	-31	oskill		Shout	138	1	12																																																																																	0
Anointment - Magic Body Armor 32	1			100	18	286	32			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-32	-32	oskill		Battle Orders	149	1	12																																																																																	0
Anointment - Magic Body Armor 33	1			100	18	286	33			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-33	-33	oskill		Natural Resistance	153	1	15																																																																																	0
Anointment - Magic Body Armor 34	1			100	18	286	34			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-34	-34	oskill		Raven	221	8	12	oskill		Feral Mastery	241	1	4	oskill		Thunderclaws	231	1	4																																																																					0
Anointment - Magic Body Armor 35	1			100	18	286	35			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-35	-35	oskill		Summon Spirit Wolf	222	8	12	oskill		Feral Mastery	241	1	4	oskill		Twin Fangs	226	1	4																																																																					0
Anointment - Magic Body Armor 36	1			100	18	286	36			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-36	-36	oskill		Summon Spirit Wolf	222	8	12	oskill		Feral Mastery	241	1	4	oskill		Contagion	237	1	4																																																																					0
Anointment - Magic Body Armor 37	1			100	18	286	37			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-37	-37	oskill		Summon Fenris	389	8	12	oskill		Feral Mastery	241	1	4	oskill		Ferocious Bite	227	1	4																																																																					0
Anointment - Magic Body Armor 38	1			100	18	286	38			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-38	-38	oskill		Spirit of Nature	236	1	8																																																																																	0
Anointment - Magic Body Armor 39	1			100	18	286	39			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-39	-39	oskill		Quickness	258	1	4																																																																																	0
Anointment - Magic Body Armor 40	1			100	18	286	40			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-40	-40	oskill		Claw Mastery	252	1	4																																																																																	0
Anointment - Magic Body Armor 41	1			100	18	286	41			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-41	-41	oskill		Fade	267	1	4																																																																																	0
Anointment - Magic Body Armor 42	1			100	18	286	42			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-42	-42	oskill		Static Field	54	1	15																																																																																	0
Anointment - Magic Body Armor 43	1			100	18	286	43			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-43	-43	mana/lvl			12																																																																																			0
Anointment - Magic Body Armor 44	1			100	18	286	44			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-44	-44	hp/lvl			6			mana/lvl			6																																																																													0
Anointment - Magic Body Armor 45	1			100	18	286	45			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-45	-45	str/lvl			8																																																																																			0
Anointment - Magic Body Armor 46	1			100	18	286	46			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-46	-46	dex/lvl			8																																																																																			0
Anointment - Magic Body Armor 47	1			100	18	286	47			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-47	-47	str/lvl			4			dex/lvl			4																																																																													0
Anointment - Magic Body Armor 48	1			100	18	286	48			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-48	-48	res-cold/lvl			8																																																																																			0
Anointment - Magic Body Armor 49	1			100	18	286	49			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-49	-49	res-fire/lvl			8																																																																																			0
Anointment - Magic Body Armor 50	1			100	18	286	50			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-50	-50	res-ltng/lvl			8																																																																																			0
Anointment - Magic Body Armor 51	1			100	18	286	51			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-51	-51	res-pois/lvl			8																																																																																			0
Anointment - Magic Body Armor 52	1			100	18	286	52			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-52	-52	res-cold/lvl			4			res-fire/lvl			4			res-ltng/lvl			4																																																																							0
Anointment - Magic Body Armor 53	1			100	18	286	53			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-53	-53	res-pois-len				75	75																																																																																	0
Anointment - Magic Body Armor 54	1			100	18	286	54			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-54	-54	nofreeze				1	1																																																																																	0
Anointment - Magic Body Armor 55	1			100	18	286	55			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-55	-55	indestruct				1	1																																																																																	0
Anointment - Magic Body Armor 56	1			100	18	286	56			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-56	-56	gethit-skill		Frozen Armor	40	4	50																																																																																	0
Anointment - Magic Body Armor 57	1			100	18	286	57			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-57	-57	gethit-skill		Static Field	54	33	50																																																																																	0
Anointment - Magic Body Armor 58	1			100	18	286	58			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-58	-58	gethit-skill		Shiver Armor	50	4	50																																																																																	0
Anointment - Magic Body Armor 59	1			100	18	286	59			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-59	-59	gethit-skill		Chilling Armor	60	4	50																																																																																	0
Anointment - Magic Body Armor 60	1			100	18	286	60			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-60	-60	gethit-skill		Hydra	62	33	50																																																																																	0
Anointment - Magic Body Armor 61	1			100	18	286	61			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-61	-61	all-stats				31	35																																																																																	0
Anointment - Magic Body Armor 62	1			100	18	286	62			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-62	-62	dmg-mag				500	750	extra-mag2				25	35																																																																											0
Anointment - Magic Body Armor 63	1			100	18	286	63			1	"tors,mag"							useitem				anointed				1	1	anointed_dummy				-63	-63	sock				3	3																																																																																	0
Anointment - Magic Helm 1	1			100	18	286	1			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-1	-1	thorns				800	1500																																																																																	0
Anointment - Magic Helm 2	1			100	18	286	2			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-2	-2	dmg-max				31	40																																																																																	0
Anointment - Magic Helm 3	1			100	18	286	3			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-3	-3	ease				-40	-40																																																																																	0
Anointment - Magic Helm 4	1			100	18	286	4			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-4	-4	str				21	30																																																																																	0
Anointment - Magic Helm 5	1			100	18	286	5			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-5	-5	str				21	30																																																																																	0
Anointment - Magic Helm 6	1			100	18	286	6			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-6	-6	dex				21	30																																																																																	0
Anointment - Magic Helm 7	1			100	18	286	7			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-7	-7	enr				21	30																																																																																	0
Anointment - Magic Helm 8	1			100	18	286	8			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-8	-8	res-all				35	35	res-all-max				3	5																																																																											0
Anointment - Magic Helm 9	1			100	18	286	9			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-9	-9	oskill		Dodge	13	1	10																																																																																	0
Anointment - Magic Helm 10	1			100	18	286	10			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-10	-10	oskill		Sharpened Focus	17	1	10	oskill		Inner Sight	8	1	10																																																																											0
Anointment - Magic Helm 11	1			100	18	286	11			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-11	-11	oskill		Teleport	42	1	4																																																																																	0
Anointment - Magic Helm 12	1			100	18	286	12			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-12	-12	oskill		Fire Mastery	61	1	10																																																																																	0
Anointment - Magic Helm 13	1			100	18	286	13			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-13	-13	oskill		Lightning Mastery	63	1	10																																																																																	0
Anointment - Magic Helm 14	1			100	18	286	14			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-14	-14	oskill		Cold Mastery	370	1	10																																																																																	0
Anointment - Magic Helm 15	1			100	18	286	15			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-15	-15	oskill		Poison Mastery Passive	409	1	10																																																																																	0
Anointment - Magic Helm 16	1			100	18	286	16			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-16	-16	oskill		Amplify Damage	66	1	8																																																																																	0
Anointment - Magic Helm 17	1			100	18	286	17			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-17	-17	oskill		Clay Golem	75	8	12	oskill		Golem Mastery	79	6	8																																																																											0
Anointment - Magic Helm 18	1			100	18	286	18			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-18	-18	oskill		Raise Skeleton	95	8	12	oskill		Skeleton Mastery	69	6	8																																																																											0
Anointment - Magic Helm 19	1			100	18	286	19			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-19	-19	oskill		BloodGolem	85	8	12	oskill		Golem Mastery	79	6	8																																																																											0
Anointment - Magic Helm 20	1			100	18	286	20			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-20	-20	oskill		Decrepify	87	1	4																																																																																	0
Anointment - Magic Helm 21	1			100	18	286	21			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-21	-21	oskill		FireGolem	94	8	12	oskill		Golem Mastery	79	6	8																																																																											0
Anointment - Magic Helm 22	1			100	18	286	22			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-22	-22	oskill		Raise Skeletal Mage	80	8	12	oskill		Skeleton Mastery	69	6	8																																																																											0
Anointment - Magic Helm 23	1			100	18	286	23			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-23	-23	oskill		Lower Resist	91	1	8																																																																																	0
Anointment - Magic Helm 24	1			100	18	286	24			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-24	-24	oskill		Poison Mastery	372	1	8																																																																																	0
Anointment - Magic Helm 25	1			100	18	286	25			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-25	-25	oskill		Shout	138	1	12																																																																																	0
Anointment - Magic Helm 26	1			100	18	286	26			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-26	-26	oskill		Battle Orders	149	1	12																																																																																	0
Anointment - Magic Helm 27	1			100	18	286	27			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-27	-27	oskill		Natural Resistance	153	1	15																																																																																	0
Anointment - Magic Helm 28	1			100	18	286	28			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-28	-28	oskill		Raven	221	8	12	oskill		Feral Mastery	241	1	4	oskill		Thunderclaws	231	1	4																																																																					0
Anointment - Magic Helm 29	1			100	18	286	29			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-29	-29	oskill		Summon Spirit Wolf	222	8	12	oskill		Feral Mastery	241	1	4	oskill		Twin Fangs	226	1	4																																																																					0
Anointment - Magic Helm 30	1			100	18	286	30			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-30	-30	oskill		Summon Spirit Wolf	222	8	12	oskill		Feral Mastery	241	1	4	oskill		Contagion	237	1	4																																																																					0
Anointment - Magic Helm 31	1			100	18	286	31			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-31	-31	oskill		Summon Fenris	389	8	12	oskill		Feral Mastery	241	1	4	oskill		Ferocious Bite	227	1	4																																																																					0
Anointment - Magic Helm 32	1			100	18	286	32			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-32	-32	oskill		Spirit of Nature	236	1	8																																																																																	0
Anointment - Magic Helm 33	1			100	18	286	33			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-33	-33	oskill		Quickness	258	1	4																																																																																	0
Anointment - Magic Helm 34	1			100	18	286	34			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-34	-34	oskill		Claw Mastery	252	1	4																																																																																	0
Anointment - Magic Helm 35	1			100	18	286	35			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-35	-35	oskill		Fade	267	1	4																																																																																	0
Anointment - Magic Helm 36	1			100	18	286	36			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-36	-36	oskill		Static Field	54	1	15																																																																																	0
Anointment - Magic Helm 37	1			100	18	286	37			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-37	-37	res-cold/lvl			8																																																																																			0
Anointment - Magic Helm 38	1			100	18	286	38			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-38	-38	res-fire/lvl			8																																																																																			0
Anointment - Magic Helm 39	1			100	18	286	39			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-39	-39	res-ltng/lvl			8																																																																																			0
Anointment - Magic Helm 40	1			100	18	286	40			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-40	-40	res-pois/lvl			8																																																																																			0
Anointment - Magic Helm 41	1			100	18	286	41			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-41	-41	res-cold/lvl			4			res-fire/lvl			4			res-ltng/lvl			4																																																																							0
Anointment - Magic Helm 42	1			100	18	286	42			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-42	-42	red-mag				21	30																																																																																	0
Anointment - Magic Helm 43	1			100	18	286	43			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-43	-43	res-pois-len				75	75																																																																																	0
Anointment - Magic Helm 44	1			100	18	286	44			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-44	-44	nofreeze				1	1																																																																																	0
Anointment - Magic Helm 45	1			100	18	286	45			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-45	-45	balance3				30	30																																																																																	0
Anointment - Magic Helm 46	1			100	18	286	46			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-46	-46	regen				251	500																																																																																	0
Anointment - Magic Helm 47	1			100	18	286	47			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-47	-47	hp				81	100																																																																																	0
Anointment - Magic Helm 48	1			100	18	286	48			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-48	-48	indestruct				1	1																																																																																	0
Anointment - Magic Helm 49	1			100	18	286	49			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-49	-49	gethit-skill		Frozen Armor	40	4	50																																																																																	0
Anointment - Magic Helm 50	1			100	18	286	50			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-50	-50	gethit-skill		Static Field	54	33	50																																																																																	0
Anointment - Magic Helm 51	1			100	18	286	51			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-51	-51	gethit-skill		Shiver Armor	50	4	50																																																																																	0
Anointment - Magic Helm 52	1			100	18	286	52			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-52	-52	gethit-skill		Chilling Armor	60	4	50																																																																																	0
Anointment - Magic Helm 53	1			100	18	286	53			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-53	-53	gethit-skill		Hydra	62	33	50																																																																																	0
Anointment - Magic Helm 54	1			100	18	286	54			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-54	-54	all-stats				31	35																																																																																	0
Anointment - Magic Helm 55	1			100	18	286	55			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-55	-55	dmg-min				21	30																																																																																	0
Anointment - Magic Helm 56	1			100	18	286	56			1	"helm,mag"							useitem				anointed				1	1	anointed_dummy				-56	-56	dmg-pois			25	15360	15360	pierce-pois				15	25																																																																											0
