index	*ID	version	enabled	*Skip Generation	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Johan's Picket	184	0	1				1	1	64	63	0s9	Lissom Spear		12	40000	dgry	dgry						tinkerflag2		25	35	rep-quant	33			dmg%		220	270	hit-skill	Bone Prison	1	50	hit-skill	Teeth	3	50	swing3		50	50	manasteal		6	12	lifesteal		8	16	oskill	Inferno Fury	5	20	oskill	Magic Mastery	1	5										0
Rainbow Rocket	185	0	1				1	1	69	68	0gl	Ahab Spear		12	40000	oran	oran						tinkerflag2		25	35	rep-quant	33			hit-skill	Pyre Javelin	2	50	hit-skill	Lightning Fury	2	50	hit-skill	Frost Javelin	2	50	hit-skill	Lower Resist	4	40	swing2		40	80	pierce-fire		10	35	pierce-cold		10	35	pierce-ltng		10	35	pierce		50	50	ease		100	100		0
Moby's Demise	186	0	1				1	1	75	71	0ts	Whale Hunter		13	45000	lgry	lgry						tinkerflag2		25	35	rep-quant	33			dmg-min		75	150	dmg/lvl	8			swing3		30	30	move3		30	30	allskills		2	2	pierce		100	100	hit-skill	Splintering Javelin	1	40	str		100	200	dmg%		100	200						0
Inifuss Branch	187	0	1				1	1	1	3	clb	Club		6	10000	dgld	dgld		invclbu				tinkerflag2		25	35	res-all		15	15	gold%		100	100	knock		1	1	str		15	15	dmg-max		10	20	red-dmg		5	10	oskill	Stun	2	5																		0
The Horror	188	0	1				1	1	7	5	spc	Spiked Club		6	10000	dgry	dgry		invspcu				tinkerflag2		25	35	crush		15	30	hit-skill	Decrepify	3	10	dmg%		30	60	dmg-cold/lvl	16			dmg-cold	150	50	100	swing1		20	20																						0
Bonemash	189	0	1				1	1	12	9	mac	Mace		7	15000	blac	dgry		invmac				tinkerflag2		25	35	dmg-norm		10	25	deadly		20	40	regen-stam		15	30	dmg-undead		200	200	att-undead		250	250	swing2		20	20	reanimate	0	30	50																		0
Arc's Skewer	190	0	1				1	1	19	15	mst	Morning Star		7	15000	lblu	lblu						tinkerflag2		25	35	deadly		20	20	mag%		50	50	half-freeze		1	1	att		80	160	swing2		40	40	gold%		50	50	dmg%		100	150	dmg/lvl	4			kill-skill	Spike Nova Proc	15	1										0
Grimbold's Flail	191	0	1				1	1	23	21	fla	Flail		8	20000	dblu	dblu						tinkerflag2		25	35	dmg-max		1	150	ease		100	100	dmg%		100	200	swing2		-20	-30	att-skill	Stun Proc	50	1	str		20	40	red-dmg%		5	10																		0
Silver Rule	192	0	1				1	1	28	27	whm	War Hammer		8	20000	cblu	cblu		invwhm				tinkerflag2		25	35	att-skill	Holy Bolt	50	10	swing2		20	30	red-dmg		10	15	dmg-undead		100	200	dmg-demon		100	200	str		10	30	move2		10	30	allskills		1	1														0
Bul Kathos Rage	193	0	1				1	1	32	24	mau	Maul		9	25000	lred	lred		invmauu				tinkerflag2		25	35	dmg%		50	125	att%		25	50	allskills		1	1	res-all		30	30	dmg%/lvl	24			swing1		40	50	oskill	Bash	1	3	manasteal		2	3														0
Arreat's Peak	194	0	1				1	1	37	29	gma	Great Maul		9	25000	cgrn	cgrn						tinkerflag2		25	35	swing2		-40	-40	crush		80	100	att-skill	Stun Proc	50	15	dmg%		300	400	str		75	125	oskill	Increased Stamina	10	10																						0
Koth's Cudgel	195	0	1				1	1	26	34	9cl	Cudgel		8	20000	dgry	dgry		invclbu				tinkerflag2		25	35	skilltab	12	3	5	swing2		30	40	dmg%		100	150	manasteal		3	5	lifesteal		5	10	dmg-norm		20	30																						0
Blood Splinter	196	0	1				1	1	35	38	9sp	Barbed Club		9	25000	lred	lred		invspcu				tinkerflag2		25	35	lifesteal		10	20	heal-kill		30	50	deadly		30	50	dmg%		150	200	kill-skill	Spike Nova Proc	15	1	dmg/lvl	12																								0
Dreamflange	197	0	1				1	1	39	39	9ma	Flanged Mace		9	25000	lblu	lblu						tinkerflag2		25	35	allskills		1	3	mana%		20	40	res-all		10	50	light		5	15	cast3		25	35	mana/lvl	8			hp		25	75																		0
Starshine	198	0	1				1	1	44	42	9mt	Jagged Star		10	30000	whit	whit						tinkerflag2		25	35	hit-skill	Magic Arrow	1	40	dmg%		100	200	dmg-norm		20	30	swing2		20	30	aura	Sanctuary	5	15	dmg-demon		300	400	life-on-striking		1	1																		0
Demonfever	199	0	1				1	1	48	45	9fl	Knout		10	30000	lpur	lpur						tinkerflag2		25	35	res-pois-max		1	2	res-pois-len		75	75	pierce-pois		10	20	kill-skill	Poison Dagger Proc	25	50	dmg%/lvl	16			dmg/lvl	16			dmg-max		1	50	att		1	500														0
Schaefer's Hammer	200	0	1				1	1	51	43	9wh	Battle Hammer		11	35000	lyel	lyel		invwhm				tinkerflag2		25	35	att/lvl	10			dmg-ltng		1	500	res-ltng		100	100	res-ltng-max		1	3	hp		25	75	att-skill	Axe Mastery Proc	25	30	swing2		30	30	dmg-ltng/lvl	64			ease		50	50	pierce-ltng		10	20						0
Vulcan's Piledriver	201	0	1				1	1	56	48	9m9	War Club		11	35000	cred			invmau				tinkerflag2		25	35	dmg%		50	100	fireskill		2	4	res-fire-max		1	3	res-fire		40	80	dmg-fire		300	500	swing2		40	40	dmg-fire/lvl	60			ease		50	50	hit-skill	Fire Surge	5	20	pierce-fire		10	20						0
Justicar Militiari	202	0	1				1	1	53	45	9gm	Martel de Fer		11	35000	lblu	lblu		inv9gmu				tinkerflag2		25	35	ease		200	200	dmg-ac		-100	-150	str		75	150	strpercent		15	30	heal-kill		40	60	aura	Concentration	10	20	swing2		-30	-30	move2		40	40	hit-skill	Crucify Proc	1	60	dmg%		400	500	dmg-min		40	80		0
Caveman's Fury	203	0	1				1	1	51	58	0cl	Cranium Basher		11	35000				invclbu				tinkerflag2		25	35	dmg%		280	330	crush		25	50	pierce-fire		20	40	oskill	Shout	1	3	dmg-fire/lvl	80			oskill	Enchant	3	3	hp%		30	60	oskill	Fanatic Swing	3	3	skill	Enchant	17	27	skill	Fanatic Swing	17	27						0
Darth Maul	204	0	1				1	1	60	60	0sp	Thorned Club		12	40000	blac	dgry		invspcu				tinkerflag2		25	35	dmg%		100	150	deadly/lvl	4			lifesteal		6	9	knock		1	1	swing2		30	30	dmg/lvl	24			thorns		1500	2000	slow		10	20	hit-skill	Corpse Explosion	10	30	hit-skill	Inner Sight	3	25						0
Caesar's Revenge	205	0	1				1	1	64	63	0ma	Arcane Mace		12	40000	cgrn	cgrn		invmac				tinkerflag2		25	35	gethit-skill	Crucify Proc	50	40	lifesteal		6	12	att		200	200	dmg%/lvl	16			manasteal		6	10	dmg%		250	350	dmg-norm		30	50	swing2		20	40														0
Butcher's Tenderizer	206	0	1				1	1	69	65	0mt	Serrated Star		12	40000	blac	blac						tinkerflag2		25	35	dmg-ac		-150	-150	red-dmg%		30	30	swing2		60	60	sock		3	3	crush		50	50	dmg%		210	260	aura	Might	10	25																		0
Thunder Star	207	0	1				1	1	73	69	0fl	Dire Flail		13	45000	lyel	lyel						tinkerflag2		25	35	dmg-ltng		1	1000	dmg%/lvl	24			pierce-ltng		15	30	dmg-undead		200	200	strpercent		5	15	vitpercent		5	15	enepercent		5	15	dmg-ltng/lvl	80			hit-skill	Charged Bolt	5	60	kill-skill	Lightning Surge	20	50						0
Miller's Hammer	208	0	1				1	1	78	79	0wh	Military Hammer		13	45000	dpur			invwhm				tinkerflag2		25	35	hit-skill	Blessed Hammer	3	50	crush		33	33	dmg%		70	100	att%		15	30	swing1		25	50	dmg%/lvl	14			light		5	25	extra-mag2		30	50	allskills		1	2										0
Hammer of Bogardan	209	0	1				1	1	82	71	0m0	Ancient Maul		13	45000				hammerofbogardan				tinkerflag2		25	35	swing2		-50	-50	oskill	Emberquake	10	20	pierce-fire		20	40	dmg%		300	400	dmg/lvl	16			strpercent		30	50	heal-kill		50	100	abs-fire%		3	5	red-dmg%		10	20										0
Thor's Hammer	210	0	1				1	1	84	74	0gm	Titan's Maul		13	45000	dgry			invthorshammer				tinkerflag2		25	35	dmg-ltng		1	5000	ease		300	300	str		200	300	dmg%		200	300	dmg%/lvl	16			att-skill	Judgement Proc	15	50	swing3		80	80	pierce-ltng		10	40	strpercent		10	40										0
Eron's Bardiche	211	0	1				1	1	4	8	bar	Bardiche		6	10000	blac	dgry						tinkerflag2		25	35	dmg%		50	100	dex		10	20	str		10	20	swing2		20	20	str/lvl	12			dex/lvl	12			dmg/lvl	8																				0
Lawful Arm	212	0	1				1	1	10	14	vou	Voulge		7	15000	cgrn	cgrn						tinkerflag2		25	35	res-all		20	30	dmg%		70	120	allskills		1	1	aura	Sanctuary	5	10	dmg-undead		100	200	dmg-demon		100	200																						0
Blade of Oblivion	213	0	1				1	1	17	19	scy	Scythe		7	15000	dgry	dgry						tinkerflag2		25	35	skilltab	8	2	4	skilltab	15	2	4	ac		50	100	mana/lvl	8			hp/lvl	8			swing2		25	25	dmg-und/lvl	24			dmg/lvl	12																0
Hewson's Poleaxe	214	0	1				1	1	23	25	pax	Poleaxe		8	20000	lblu	lblu						tinkerflag2		25	35	dmg/lvl	16			all-stats		15	20	deadly		20	40	swing2		20	20	hit-skill	Amplify Damage	3	20																										0
Infidel's Rule	215	0	1				1	1	30	28	hal	Halberd		9	25000	dblu	dblu						tinkerflag2		25	35	dmg%		130	180	res-all-max		3	3	res-all		50	50	att		100	200	red-dmg		10	15	red-mag		10	15	balance1		50	50																		0
Eternal Rest	216	0	1				1	1	37	29	wsc	War Scythe		9	25000	lpur	lpur						tinkerflag2		25	35	dmg/lvl	12			cast3		20	20	mana%		20	20	crush		40	40	oskill	Killer Scythe	1	3	allskills		2	2	dmg%		50	150	deadly		20	20														0
Defender of the Highlands	217	0	1				1	1	29	41	9b7	Lochaber Axe		8	20000	cgrn	cgrn						tinkerflag2		25	35	dmg%		100	200	allskills		2	2	regen		300	500	ac		250	250	lifesteal		5	10	knock		1	1	ac/lvl	40			dmg/lvl	8			oskill	Shout	5	10	swing2		10	20						0
Bill of the Crane Shamans	218	0	1				1	1	35	42	9vo	Bill		9	25000	lgry	lgry						tinkerflag2		25	35	dmg%		100	300	bar		3	7	deadly		25	25	mana		50	50	cast1		40	40	mana/lvl	8			manasteal		3	9	mana-kill		10	20	dru		3	7	sor		3	7						0
Reaver of Darkness	219	0	1				1	1	42	42	9s8	Battle Scythe		10	30000	blac	blac						tinkerflag2		25	35	dmg%		100	150	ease		-50	-50	ignore-ac		1	1	mana-kill		10	20	light		-4	-4	allskills		2	2	manasteal		12	25	hit-skill	Fury Proc	1	10	dmg/lvl	16			swing2		30	30	oskill	Energy Shield	5	10		0
Partizan of Light	220	0	1				1	1	48	43	9pa	Partizan		10	30000	whit	whit						tinkerflag2		25	35	att-skill	Judgement Proc	5	20	att-skill	Lightning Strike	5	20	pierce-ltng		10	15	light		10	15	dmg%		50	200	dmg-ltng		1	500	allskills		1	1																		0
The Will of Hatred	221	0	1				1	1	52	44	9h9	Bec-de-Corbin		11	35000	dpur	dpur						tinkerflag2		25	35	hit-skill	Confuse	2	30	hit-skill	Cloak of Shadows	2	30	dmg%/lvl	32			dmg%		50	100	swing2		20	20	att%		50	100	deadly		25	50																		0
Instrument of Destruction	222	0	1				1	1	52	45	9wc	Grim Scythe		11	35000	blac	blac						tinkerflag2		25	35	allskills		2	4	kill-skill	Fire Surge	33	40	pierce-fire		10	20	dmg-fire		600	800	dmg-fire/lvl	64			swing2		10	20	hp%		20	40																		0
Call of the Guardian	223	0	1				1	1	54	60	0b7	Urgrosh		11	35000	dgld	dgld						tinkerflag2		25	35	dmg%		150	200	res-all		40	40	ac-miss		250	250	gethit-skill	Super Nova	1	40	ac		500	500	balance2		20	20	swing3		30	30	dmg%/lvl	8			hit-skill	Battle Command	1	30	hit-skill	Shout	1	30	hit-skill	Battle Orders	1	30		0
Nine Lives Stealer	224	0	1				1	1	60	64	0vo	Pole Gauche		12	40000	cred	cred						tinkerflag2		25	35	regen		-800	-1000	heal-kill		100	200	lifesteal		20	40	kill-skill	Fury Proc	15	45	hit-skill	Decrepify	3	40	slow		20	40	hit-skill	Quickness	5	30	dmg%		400	500														0
Soul Reaver	225	0	1				1	1	67	61	0s8	Shadow Scythe		12	40000	whit	whit						tinkerflag2		25	35	hit-skill	Hells Gate	1	60	kill-skill	Bone Spirit	20	60	extra-mag2		30	50	swing2		30	50	red-dmg%		10	20	res-all		30	50	hp		100	200	enr		100	200														0
Sultan's Conqueror	226	0	1				1	1	70	67	0pa	Royal Partizan		13	45000	lgld	lgld						tinkerflag2		25	35	light		5	25	hit-skill	Fist of the Heavens	3	60	swing2		30	50	regen		300	300	oskill	Magic Mastery	1	5	crush/lvl	4			deadly/lvl	6			dmg%		220	260														0
Almraizer	227	0	1				1	1	73	70	0h0	Guardian		13	45000	dgld	dgld						tinkerflag2		25	35	hit-skill	Whirlpool Proc	5	60	aura	Cold Pierce Aura	10	30	pierce-cold		10	20	mana-on-striking		3	5	oskill	Energy Shield	10	25	kill-skill	Cold Surge	20	60	dmg%		200	300	dmg%/lvl	24			enepercent		30	50	red-mag		15	50						0
Eternal Reign	228	0	1				1	1	75	71	0wc	Death Reaper		13	45000	blac	blac						tinkerflag2		25	35	kill-skill	Time Lapse	100	1	oskill	Sword Mastery	10	20	dmg-min		200	250	dmg%		300	500	ease		200	200	dmg-undead		200	800	dmg-demon		200	800	aura	Sanctuary	10	30	dmg-mag		500	2000	red-dmg%		20	30						0
Holy Icon	229	0	1				1	1	6	5	scp	Scepter		6	10000	dred	dred						tinkerflag2		25	35	pal		1	1	dmg/lvl	8			swing2		30	30	dmg-undead		150	150	dmg-und/lvl	16			att-undead		200	200	att-und/lvl	2			mana		15	30														0
Blessed Avenger	230	0	1				1	1	14	13	gsc	Grand Scepter		7	15000	lgld	lgld						tinkerflag2		25	35	pal		1	1	dmg-norm		20	30	dmg/lvl	10			thorns/lvl	160			balance2		20	20	skill	Thorns	3	6	thorns		200	400																		0
Redeemer of the Light	231	0	1				1	1	22	21	gsp	Great Scepter		8	20000	whit	whit						tinkerflag2		25	35	allskills		1	1	pal		1	2	light		5	10	mana-kill		10	20	cast2		20	40	rip		1	1	res-all		30	50																		0
Demon Bane	232	0	1				1	1	30	23	wsp	War Scepter		9	25000	cred	cred						tinkerflag2		25	35	pal		2	2	dmg/lvl	10			dmg-demon		100	200	att-dem/lvl	2			manasteal		10	20	deadly		30	30	aura	Sanctuary	5	15	dmg%		100	125	dmg-undead		100	200	gethit-skill	Blessed Hammer	10	20						0
Righteous Avenger	233	0	1				1	1	31	37	9sc	Rune Scepter		9	25000	whit	whit						tinkerflag2		25	35	pal		1	2	swing2		30	30	pierce-fire		10	20	pierce-cold		10	20	pierce-ltng		10	20	dmg%		100	150	dmg-norm		20	40	indestruct		1	1	skill	Conviction	5	10	sock		1	2						0
Demon Slayer	234	0	1				1	1	39	38	9qs	Holy Water Sprinkler		9	25000	lblu	lblu						tinkerflag2		25	35	allskills		2	3	dmg/lvl	14			dmg-min		15	30	swing2		25	25	dmg-demon		200	300	att-demon		200	300	balance2		20	20	sock		2	2	light		10	20										0
Liberation	235	0	1				1	1	47	42	9gp	Consecrated Scepter		10	30000	bwht	bwht						tinkerflag2		25	35	pal		2	2	dmg%		220	260	swing3		30	30	mana-kill		20	40	heal-kill		20	40	skilltab	10	2	4	hit-skill	Fist of the Heavens	3	40	dmg-undead		300	400														0
Redemption	236	0	1				1	1	50	42	9ws	Divine Scepter		11	35000	lblu	lblu						tinkerflag2		25	35	aura	Redemption	5	10	pal		2	4	move2		20	40	swing2		40	40	red-dmg		25	40	dmg/lvl	16			dmg%		100	200	res-all-max		3	5														0
Agent of the Light	237	0	1				1	1	56	64	5sc	Celestial Scepter		11	35000	cgrn	cgrn						tinkerflag2		25	35	light		20	40	swing2		30	50	oskill	Magic Mastery	1	5	heal-kill		50	100	abs-elem		10	20	att-skill	Blessed Hammer	33	50	att-skill	Fist of the Heavens	33	50	att-skill	Holy Bolt	33	50	res-mag		10	20										0
Judgement	238	0	1				1	1	64	67	0qs	Holy Scepter		12	40000	oran	oran						tinkerflag2		25	35	att-skill	Judgement Proc	15	60	life-on-striking		2	3	skill	Zeal	15	20	skill	Judgement	15	20	dmg%		300	400	dmg/lvl	12			passive-summ-life		20	40	extra-summ		30	50	rip		1	1										0
Instrument of Purification	239	0	1				1	1	72	71	0gp	Seraphic Scepter		13	45000	lpur	lpur						tinkerflag2		25	35	kill-skill	Magic Surge	25	60	dmg-undead		400	500	dmg-demon		400	500	allskills		2	4	swing2		20	40	dmg-norm		50	100	dmg%		200	300	gethit-skill	Howl	5	60	att%		50	100	att		50	100	str		50	100		0
Scepter of the Sorcerer-Kings	240	0	1				1	1	80	76	0ws	Blessed Scepter		13	45000	cblu	cblu						tinkerflag2		25	35	oskill	Teleport	1	1	kill-skill	Fire Surge	5	60	kill-skill	Cold Surge	5	60	kill-skill	Lightning Surge	5	60	kill-skill	Poison Surge	5	60	kill-skill	Magic Surge	5	60	kill-skill	Wind Surge	5	60	spell-damage		20	40	allskills		2	4	cast2		25	75						0
Supercharged Rod	241	0	1				1	1	5	8	spr	Spear		6	10000	dpur	dpur						tinkerflag2		25	35	gethit-skill	Super Nova	2	3	swing2		50	50	ltng-min		1	1	ltng-max		100	200	move2		15	25	dmg-ltng/lvl	8																								0
Poseidon's Trident	242	0	1				1	1	10	12	tri	Trident		7	15000	oran	oran						tinkerflag2		25	35	ama		1	1	hit-skill	Cold Surge	1	5	dmg-cold	75	100	150	att		50	100	dex		20	40	str		20	40	lifesteal		3	5	res-cold		30	50														0
Forzan's Rage	243	0	1				1	1	16	17	brn	Brandistock		7	15000	whit	whit						tinkerflag2		25	35	dmg%		50	100	allskills		1	1	ac		75	150	hp		20	40	swing2		10	20	dmg/lvl	16			deadly		30	50	crush		30	50														0
Rogerio's Lance	244	0	1				1	1	21	22	spt	Spetum		8	20000	lred	lred						tinkerflag2		25	35	ama		1	2	red-dmg%		10	20	res-all		15	30	dmg-fire		50	100	swing2		20	40	dmg-fire/lvl	48			abs-fire		8	10	dmg%		120	180	move2		20	30										0
Uthuala's Crest	245	0	1				1	1	32	27	pik	Pike		9	25000	lgry	lgry						tinkerflag2		25	35	crush		100	100	ease		100	100	swing2		-20	-20	str		50	100	dmg-min		50	100	dmg%		50	100	lifesteal		5	10	reduce-ac		50	50														0
Zerae's Point	246	0	1				1	1	30	31	9sr	War Spear		9	25000	lyel	lyel						tinkerflag2		25	35	dmg%		230	270	ama		2	2	att		200	300	swing2		20	40	res-ltng		50	50	res-ltng-max		1	3	aura	Holy Shock	5	20	dmg-ltng/lvl	80			skill	Lightning Strike	5	15	pierce-ltng		15	25						0
Gift of the Sea	247	0	1				1	1	35	33	9tr	Fuscina		9	25000	cblu	cblu						tinkerflag2		25	35	dmg%		220	260	sock		2	2	swing2		40	40	hit-skill	Blizzard	5	45	res-all		20	20	pierce-cold		15	25	oskill	370	1	1	gethit-skill	Time Stop	5	20														0
Kaihlanna's Pride	248	0	1				1	1	41	35	9br	War Fork		10	30000	dgld	dgld						tinkerflag2		25	35	all-stats		50	75	all-stats-percent		15	25	res-all		20	40	dmg%		100	150	swing2		20	30	move2		20	30	balance2		20	30	allskills		1	1														0
Tears of Pain	249	0	1				1	1	45	37	9st	Yari		10	30000	oran	oran						tinkerflag2		25	35	kill-skill	Spike Nova Proc	15	30	hit-skill	Arrow Hit Skill	20	30	swing2		20	40	dmg%		100	200	life-on-striking		1	1	hit-skill	Amplify Damage	3	40	att%		50	100	dex		50	100														0
Illusionary Pain	250	0	1				1	1	47	39	9p9	Lance		10	30000	lpur	lpur						tinkerflag2		25	35	sock		1	3	hit-skill	Lightning Fury	3	40	hit-skill	Pyre Javelin	3	40	hit-skill	Frost Javelin	3	40	pierce-fire		10	30	pierce-cold		10	30	pierce-ltng		10	30	swing2		40	40														0
Backbiter	251	0	1				1	1	55	61	0sr	Guisarme		11	35000	blac	blac						tinkerflag2		25	35	dmg%		1	400	deadly		1	100	crush		1	100	str		1	150	dex		1	150	dmg-max		1	300	skill	Eagle Eye	1	30	allskills		1	5	swing2		1	100										0
Defense of Atlantis	252	0	1				1	1	60	64	0tr	Grapnel		12	40000	dblu	dblu						tinkerflag2		25	35	aura	Defiance	10	20	red-dmg%		20	30	ac		1000	2000	oskill	Shout	10	20	swing2		-40	-40	dmg-min		200	250	dmg%		100	200	red-mag		40	50	res-all-max		3	5	att-skill	Concentrate Proc	100	60						0
Dragon's Breath	253	0	1				1	1	66	66	0br	Dragon Spear		12	40000	cred	cred						tinkerflag2		25	35	oskill	Fire Mastery	5	10	hit-skill	Fire Surge	3	60	aura	Conviction	5	20	balance2		40	40	hp		100	200	hp/lvl	16			pierce-fire		20	40																		0
Storm Seeker	254	0	1				1	1	71	70	0st	Ranseur		13	45000	whit	whit						tinkerflag2		25	35	move2		30	50	pierce-ltng		10	30	oskill	Lightning Mastery	5	10	swing2		50	50	gethit-skill	Super Nova	2	60	att-skill	Lightning Strike	10	60	dmg-max		300	400	dmg%/lvl	16																0
Rotting Splinter	255	0	1				1	1	82	75	0p0	Impaler		13	45000	dgrn	dgrn						tinkerflag2		25	35	kill-skill	Poison Surge	33	60	pierce-pois		20	40	oskill	Venom	30	50	res-pois-len		75	125	att%		200	300	reduce-ac		25	50	dmg-pois	256	5000	10000	red-dmg%		10	20														0
Zann Esu's Raiment	256	0	1				1	1	2	5	sst	Short Staff		6	10000	lgrn	lgrn						tinkerflag2		25	35	res-all		10	25	hp		15	30	mana		15	30	coldskill		2	2	hp/lvl	8			mana/lvl	16																								0
The Fradstik	257	0	1				1	1	9	9	lst	Long Staff		6	10000	cgrn	cgrn						tinkerflag2		25	35	fireskill		1	1	ac		45	90	cast2		10	30	ac/lvl	32			skill	Fire Ball	3	6	skill	Fire Bolt	3	6																						0
Phenom's Rule	258	0	1				1	1	16	18	cst	Gnarled Staff		7	15000	lgry	lgry						tinkerflag2		25	35	sor		1	1	half-freeze		1	1	all-stats		10	25	str/lvl	8			dex/lvl	8			vit/lvl	8			enr/lvl	8			oskill	Wisdom of Athulua	1	10														0
Morquan's Aura	259	0	1				1	1	23	21	bst	Battle Staff		8	20000	dred	dred						tinkerflag2		25	35	sor		1	2	regen		100	200	red-dmg%		10	20	mana-kill		10	20	aura	Salvation	1	5	cast2		10	20																						0
Yoyo's Sanity	260	0	1				1	1	30	28	wst	War Staff		9	25000	dyel	dyel		inv8wsu				tinkerflag2		25	35	dmg-to-mana		20	40	allskills		2	3	mana%		30	50	cast2		10	30	mana/lvl	16			pierce-fire		5	10	pierce-cold		5	10	pierce-ltng		5	10														0
Staff of the Horadrim	261	0	1				1	1	27	28	8ss	Jo Stalf		8	20000	dgld	dgld						tinkerflag2		25	35	kill-skill	Hydra	100	15	pierce-ltng		10	15	regen-mana		100	200	lightningskill		2	4	res-all		30	50	res-all-max		2	3	move2		30	50																		0
The Staff of Aesculapius	262	0	1				1	1	34	31	8ls	Quarterstaff		9	25000	whit	whit						tinkerflag2		25	35	allskills		1	2	res-pois		60	80	res-pois-max		3	5	hp		100	200	mana		100	200	res-pois-len		50	100	cast2		100	100																		0
Doomspire	263	0	1				1	1	41	35	8cs	Cedar Staff		10	30000	blac	blac						tinkerflag2		25	35	allskills		3	3	dmg%		150	200	regen-mana		25	75	cast3		30	30	manasteal		10	15	dmg/lvl	16			swing2		30	30	res-all		30	30	hp/lvl	12			mana/lvl	12								0
The Staff of Erana	264	0	1				1	1	47	39	8bs	Gothic Staff		10	30000	dblu	dblu						tinkerflag2		25	35	sor		4	4	res-all		50	50	ease		100	100	ac		1000	1000	ac/lvl	80			regen-mana		250	500	skill	Elemental Fury	10	20																		0
Tal Rasha's Walking Stick	265	0	1				1	1	49	41	8ws	Rune Staff		10	30000	oran	oran						tinkerflag2		25	35	allskills		2	4	res-all		50	75	cast2		40	50	gethit-skill	Time Lapse	25	2	red-dmg		30	50	mana%		20	40	regen-mana		50	150	regen		300	500														0
Burning Sands	266	0	1				1	1	52	59	1ss	Elder Cane		11	35000	lred	lred						tinkerflag2		25	35	fireskill		1	7	kill-skill	Fire Surge	17	60	pierce-fire		15	30	oskill	Fire Mastery	5	10	cast2		20	40	res-fire		40	80	nofreeze		1	1	rip		1	1														0
Magelord's Assistant	267	0	1				1	1	59	63	1ls	Mystic Staff		11	35000	lblu	lblu						tinkerflag2		25	35	allskills		3	5	mana%		30	50	red-dmg		15	20	regen-mana		60	150	mana		200	250	cast2		40	40	res-all		45	65	oskill	Dodge	1	1	extra-wind		20	40										0
The Protector	268	0	1				1	1	66	67	1cs	Petrified Staff		12	40000	lgry	lgry						tinkerflag2		25	35	dmg%		100	200	hp/lvl	12			red-dmg%		30	30	ac/lvl	40			aura	Defiance	5	15	crush		30	50	swing1		40	40	dmg/lvl	28			allskills		4	4	dmg-norm		25	50	deadly/lvl	4				0
Dragon Staff	269	0	1				1	1	73	71	1bs	Mage Staff		13	45000	lpur	lpur						tinkerflag2		25	35	allskills		4	4	hit-skill	Stun Proc	3	20	dmg-ltng		1	4500	dmg-fire		2000	2500	dmg-cold	200	2000	2500	ignore-ac		1	1	swing2		60	60	pierce-fire		25	30	pierce-cold		25	30	pierce-ltng		25	30	hp		400	500		0
Vizjeris' Knowledge	270	0	1				1	1	80	75	1ws	Arcane Staff		13	45000	bwht	bwht		inv8wsu				tinkerflag2		25	35	sor		7	7	regen-mana		200	250	oskill	Wisdom of Athulua	20	30	cast1		60	60	ac		2000	2000	enr		200	250	vit		200	250	enepercent		20	30														0
Umbar's Blade	271	0	1				1	1	2	2	ssd	Short Sword		6	10000	blac	blac						tinkerflag2		25	35	oskill	Cloak of Shadows	2	3	dmg-max		20	30	dmg%/lvl	8			life-on-striking		1	1	red-dmg		3	6	swing2		30	30																						0
The Rising Sunn	272	0	1				1	1	7	7	scm	Scimitar		6	10000	lblu	lblu		invscmu				tinkerflag2		25	35	att-skill	Fire Wall	25	3	swing2		20	30	dmg-fire		40	60	regen		50	100	all-stats		10	15																										0
Tavern's Blade	273	0	1				1	1	12	10	sbr	Saber		7	15000	cblu	cblu		inv9sbu				tinkerflag2		25	35	allskills		1	1	dmg-norm		10	20	swing2		30	30	att		100	200	dmg-to-mana		10	30	ac-hth		50	100	ac/lvl	16			dmg%		50	100														0
Ironslice	274	0	1				1	1	17	13	flc	Falchion		7	15000	lred	lred		invflcu				tinkerflag2		25	35	swing2		-30	-30	dmg-norm		50	75	dmg%		100	100	lifesteal		5	10	ac		50	100	mag%		50	50	gold%		100	100																		0
Rainbow's Power	275	0	1				1	1	18	13	crs	Crystal Sword		7	15000	lgry	lgry		invrainbowpower				tinkerflag2		25	35	swing2		40	40	dmg-fire/lvl	16			dmg-cold/lvl	16			dmg-ltng/lvl	16			kill-skill	Fire Surge	5	5	kill-skill	Cold Surge	5	5	kill-skill	Lightning Surge	5	5	pierce-fire		5	10	pierce-cold		5	10	pierce-ltng		5	10						0
Numenorean Iron	276	0	1				1	1	23	17	bsd	Broad Sword		8	20000	cred	cred		invbsdu				tinkerflag2		25	35	hit-skill	Amplify Damage	3	20	swing2		20	30	dmg%		100	200	deadly		50	50	move2		20	20	res-mag		8	10																						0
