skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Might	98	pal	might		65																		73731	might	might		ln12	damagepercent	ln34+(skill('Judgement'.blvl))*par8																																																																																																	1	1	9		none														xx																	1													18	20					Thorns			1						0	1					1	8	0	0	1	1	1		10																			15	radius	1	additional radius per level	50	% additional damage	18	% additional damage/level							10	damage synergy									1								8																																				1023	20000	0
Prayer	99	pal	prayer		65																		73731	prayer	prayer		ln12	hitpoints	edns+(skill('Holy Bolt'.blvl)+skill('Fist of the Heavens'.blvl)+skill('Redemption'.blvl))*par8*51																																																																																																		1	7		none														xx																	1													1	20								1						0	1					1	7	1	0	1	1	1		10																			15	radius	1	additional radius per level											5	heal synergy									1								8																2	1	1	2	3	3															1023	20000	0
Resist Fire	100	pal	resist fire		65																		73731	resistfire	resistfire		ln12	item_absorbfire_percent	1+lvl/10	maxfireresist	1+lvl/5	damageresist	5+lvl/3	passive_fire_mastery	ln56	fireresist	lvl*2									passive_resistfire			maxfireresist	blvl/10																																																																												1	1	8		none														xx																	1													1	20								1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level					20	elem dmg bonus	1	elem dmg bonus / lvl			1	absorb synergy									1								8															fire																					1023	20000	0
Holy Bolt	101	pal	holy bolt	39											holybolt									pierce		35		skill_pierce	100																																																																	paladin_holybolt_cast											cast_undead									holybolt													1	0		none												SC	SC	SC																	1			1					1		paladin_holybolt_cast	cast_undead		6	20														1	1					1	7	4	1	1													35																								7	damage synergy									1								8															mag	6	3	6	10	14	18	7	4	8	12	16	20	(100+(skill('Blessed Hammer'.blvl)+skill('Fist of the Heavens'.blvl)+skill('SSummon Grizzly'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100								512	4000	0
Holy Fire	102	pal	holy fire		20																		3	holyfire	holyfire		"min(ln12,30)"																																																																																																				1	0		none														SC																	1													12	20								1						0	1					1	8	0	0	1	1	1		clc5							0	damage %	exma*256*clc3	min damage	(skill('Holy Auras Enhancement'.lvl)>0)*(stat('randomgenerator'.accr)>950)*4+1	quadruple damage chance			max(5,50-lvl/3-stat('item_holyauratickrate'.accr)*stat('energy'.accr)/300)	tick rate reduction			15	radius	1	additional radius per level	0	Minimum Damage.									6	damage synergy									1								8															fire							5	5	8	12	16	20	(skill('Resist Fire'.blvl)*2+skill('Crucify'.blvl)+skill('Salvation'.blvl))*par8								1023	20000	0
Thorns	103	pal	thorns		65																		73731	thorns	thorns		ln12	thorns_percent	ln34+(skill('Zeal'.blvl)+skill('Smite'.blvl)+skill('Crucify'.blvl))*par8	damagepercent	stat('item_attackertakesdamage'.accr)*(lvl+skill('Zeal'.blvl)/2+skill('Smite'.blvl)/2+skill('Crucify'.blvl)/2)/300																																																																																																1	9		none														xx																	1													6	20					Sanctuary			1						0	1					0	8	0	0	1	1	1		10													(lvl+skill('Zeal'.blvl)/2+skill('Smite'.blvl)/2+skill('Crucify'.blvl)/2)/3	phys damage for display					15	radius	1	additional radius per level	400	% damage bounced back	100	% additional bounce back/level							50	thorns synergy									1								8																																				1023	20000	0
Defiance	104	pal	defiance		65																		73731	defiance	defiance		ln12	skill_armor_percent	ln34+skill('Holy Shield'.blvl)*par7+(skill('Resist Fire'.blvl)+skill('Resist Cold'.blvl)+skill('Resist Lightning'.blvl))*par8																																																																																																	1	1	4		none														xx																	1													6	20								1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level	100	% additional AC	15	% additional AC/level	0	?	0	?	5	ac% synergy from HS	10	ac% synergy from others									1								8																																				1023	20000	0
Resist Cold	105	pal	resist cold		65																		73731	resistcold	resistcold		ln12	item_absorbcold_percent	1+lvl/10	maxcoldresist	1+lvl/5	damageresist	5+lvl/3	passive_cold_mastery	ln56	item_cannotbefrozen	1	coldresist	lvl*2							passive_resistcold			maxcoldresist	blvl/10																																																																												1	1	6		none														xx																	1													1	20								1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level	10	abs% and DR%(-5)	1	abs% and DR%/lvl	20	elem dmg bonus	1	elem dmg bonus / lvl			1	absorb synergy									1								8															cold																					1023	20000	0
Judgement	106	pal	judgement	6	11													judgement	judgement	judgement			3		orangenosound	150		fireresist	-20-lvl/2	coldresist	-20-lvl/2	lightresist	-20-lvl/2																																																													paladin_sacrifice															19						judgement	judgement	judgement										1	8		h2h		mele										A1	A1	A1				1											1		1			1			4		1					24	20					Vengeance							clc3?0:clc6		1	1					1	8	5	1	1											1				skill('Zeal'.clc5)		clc5?1:4		((skill('Judgement'.blvl)+skill('Conviction'.blvl))>39)		max(30,(150*100-150*stat('item_skill_cooldown'.accr))/100)																15	ar synergy									1	15		lvl*15+skill('Zeal'.blvl)*par8					8	128														ltng																					256	2000	0
Charge	107	pal	charge	31	67																																																																																								1	paladin_charge														25	37																		1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1		1													12	20					Smite									1	1					1	7	4	1		1										ln34+skill('Holy Shield'.blvl)*par8	Damage %	30+lvl*2+skill('Vigor'.blvl)*par7	Velocity %			0	% Damage Dealt as Elemental (Used only if there is an Etype)					150	Velocity %			100	Damage % baseline	30	Damage % per level			30	ar synergy	5	speed synergy	30	Damage synergy									1	100		lvl*30+skill('Smite'.blvl)*par6					8	192																																			256	2000	0
Blessed Aim	108	pal	blessed aim		65																		73731	blessedaim	blessedaim		ln12	item_crushingblow	20+lvl	attackrate	dm56	item_tohit_percent	ln34+(skill('Arrow of Confession'.blvl)+skill('Zeal'.blvl)+skill('Crucify'.blvl))*par8																																																																																													1	1	6		none														xx																	1													1	20								1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level	10	ar	10	ar per level	1	min% boost	60	max% boost			5	ar synergy									1								8																																				1023	20000	0
Cleansing	109	pal	cleansing		65																		73731	cleansing	cleansing		ln12	item_poisonlengthresist	max(1,(100-ln34/2))	curse_resistance	ln34/2																																																																																																1	3		none														xx																	1													12	20					Prayer			1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level	100	% reduction	1	% reduction per level	0	?	0	?			1	reduce length synergy									1								8																																				1023	20000	0
Resist Lightning	110	pal	resist lightning		65																		73731	resistlight	resistlight		ln12	item_absorblight_percent	1+lvl/10	maxlightresist	1+lvl/5	damageresist	5+lvl/3	passive_ltng_mastery	ln56	lightresist	lvl*2									passive_resistltng			maxlightresist	blvl/10																																																																												1	1	6		none														xx																	1													1	20								1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level	10	abs% and DR%(-5)	1	abs% and DR%/lvl	20	elem dmg bonus	1	elem dmg bonus / lvl			1	absorb synergy									1								8															ltng																					1023	20000	0
Vengeance	111	pal	vengeance	39	11													vengeance	vengeance	vengeance				skilldamagestate				item_absorbfire_percent	10*clc6	item_absorblight_percent	10*clc6	item_absorbcold_percent	10*clc6																																																													paladin_sacrifice															19						vengeance	vengeance	vengeance										1	4		h2h		mele										A1	A1	xx				1		1	1								1		1			1			4		1					18	20					Crucify									1	1					1	8	4	0	1											1	# missiles	25	duration			skill('Zeal'.clc5)?1:4				(skill('Vengeance'.blvl)+skill('Salvation'.blvl))>39																15	ar synergy									1	15		lvl*15+skill('Zeal'.blvl)*par8					8	32														cold														50	10	10	10		4		256	2000	0
Blessed Hammer	112	pal	blessed hammer												blessedhammer																																																																															paladin_holybolt_cast																				blessedhammer													1	2		none												SC	SC	xx																	1			1							paladin_holybolt_cast			18	20					Holy Bolt									1	1					1	7	8	1	1											1												4	Damage % from Concentration (in 8ths)													6	Damage synergy									1								8															mag	6	3	4	5	6	8	8	4	6	8	10	12	(100+(skill('Holy Bolt'.blvl)+skill('SSummon Grizzly'.blvl)+skill('Fist of the Heavens'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100								512	4000	0
Concentration	113	pal	concentration		65																		73731	concentration	concentration		ln12	damagepercent	ln34+(skill('Sacred Piercer'.blvl)+skill('Blessed Hammer'.blvl))*par8	skill_concentration	min(100,ln56+skill('Sacred Piercer'.blvl)+skill('Blessed Hammer'.blvl))																																																																																															1	1	6		none														xx																	1													18	20					Blessed Aim			1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level	50	% additional damage	15	% additional damage/level	20	percent chance that attack will not be interrupted	1	percent chance that attack will not be interrupted per level			5	damage synergy									1								8																																				1023	20000	0
Holy Freeze	114	pal	holy freeze		20																		3	holywind	holywind		"min(ln12,30)"																																																																																																				1	0		none														SC																	1													18	20					Holy Fire			1						0	1					1	8	0	0	1	1	1		clc5							clc4*50	damage %	exma*256*clc3	min damage	(skill('Holy Auras Enhancement'.lvl)>0)*(stat('randomgenerator'.accr)>950)*4+1	chance to deal 5 times the damage	(skill('Holy Freeze Enhancement'.lvl)>0)*(stat('randomgenerator'.accr)>900)	chance to deal 50% dmg of current life	max(5,50-lvl/3-stat('item_holyauratickrate'.accr)*stat('energy'.accr)/300)		(skill('Holy Freeze Enhancement'.lvl)==0)*100	multiply damage by 2 if passive is not present	15	radius	1	additional radius per level	0	Minimum Damage.									6	damage synergy									1								8															cold							2	2	3	5	7	9	(100+(skill('Resist Cold'.blvl)*2+skill('Zeal'.blvl)+skill('Salvation'.blvl))*par8)*(100+clc6)/100-100	25	10	10	10				1023	20000	0
Vigor	115	pal	vigor		65																		73731	stamina	stamina		ln12	staminarecoverybonus	ln34	skill_staminapercent	ln34	velocitypercent	dm56	item_maxhp_percent	ln78+skill('Prayer'.blvl)+skill('Cleansing'.blvl)+clc5	item_magicbonus	stat('maxstamina'.accr)*lvl/614400	item_goldbonus	stat('maxstamina'.accr)*lvl/614400																																																																																							1	1	1		none														xx																	1													18	20					Cleansing	Defiance		1						0	1					0	8	0	0	1	1	1		10															stat('stamina'.accr)*lvl/614400/4				15	radius	1	additional radius per level	25	% faster stamina recovery and max stamina	10	% additional stamina recovery and max stamina	0	min % speed increase	90	max % speed increase	10	hp bonus	1	hp bonus/lvl									1								8																																				1023	20000	0
Crucify	116	pal	crucify	39	11													crucify	crucify	crucify				skilldamagestate				hpregen	stat('maxhp'.accr)/500*clc6																																																																	paladin_sacrifice															19						crucify	crucify	crucify										1	8		h2h		scep	swor		2hsw							A1	A1	A1				1		1	1								1		1			1			4		1					12	20					Zeal									1	1					1	7	6	1	1											1+skill('Zeal'.clc5)	# of targets	25	duration			max(1,6-lvl/10)				(skill('Crucify'.blvl)+skill('Aura of Divinity'.blvl))>39																15	ar synergy									1	15		lvl*15+skill('Zeal'.blvl)*par8					8	32														fire																			4		256	2000	0
Holy Shield	117	pal	holy shield		18																			holyshield		(blvl<1)?(750+500*lvl):(3000+500*lvl)		damageresist	skill('Defiance'.lvl)*2/3	fireresist	skill('Salvation'.lvl)	coldresist	skill('Salvation'.lvl)	lightresist	skill('Salvation'.lvl)	poisonresist	skill('Salvation'.lvl)	magicresist	skill('Sanctuary'.lvl)/2										skill_armor_percent	10+lvl*10	toblock	5+lvl/2																																										paladin_holyshield																																	1	3		none												SC	SC	xx															1		1			1			1							18	20					Charge									1	1					1	8	35	0	1	1																						750	duration of shield	625	duration/level	20	AC bonus	10	AC bonus per level					5	smite damage synergy	15	armor synergy									1								8		2	2	2	4	4	4	4	4	4	6	6	6	(100+(skill('Smite'.lvl)*par7)*(100+stat('passive_wind_mastery'.accr))/100-100																						512	8000	0
Holy Shock	118	pal	holy shock		20																		3	holyshock	holyshock		"min(ln12,30)"																																																																																																				1	0		none														SC																	1													24	20					Holy Freeze			1						0	1					1	8	0	0	1	1	1		clc5							0	damage %	exma*256*clc3	min damage	(skill('Holy Auras Enhancement'.lvl)>0)*(stat('randomgenerator'.accr)>950)*4+1				max(5,50-lvl/3-stat('item_holyauratickrate'.accr)*stat('energy'.accr)/300)				15	radius	1	additional radius per level	0	Minimum Damage.									6	damage synergy									1								8															ltng							5	5	8	12	16	20	(skill('Resist Lightning'.blvl)*2+skill('Judgement'.blvl)+skill('Salvation'.blvl))*par8	25	5	5	5				1023	20000	0
Sanctuary	119	pal	sanctuary		66																		41603	sanctuary	sanctuary		"min(ln12,30)"	velocitypercent	-5-((lvl+skill('Holy Bolt'.blvl)/2+skill('Fist of the Heavens'.blvl)/2+skill('Blessed Hammer'.blvl)/2)*(stat('item_demondamage_percent'.accr)+stat('item_undeaddamage_percent'.accr)))/2000	magicresist	-5-((lvl+skill('Holy Bolt'.blvl)/2+skill('Fist of the Heavens'.blvl)/2+skill('Blessed Hammer'.blvl)/2)*(stat('item_demondamage_percent'.accr)+stat('item_undeaddamage_percent'.accr)))/2000																		skill_bypass_undead	1	skill_bypass_demons	1	magicmindam	clc6*2/3	magicmaxdam	clc6*3/2																																																	cast_undead										sanctuarybolt												1	0		none														xx																	1			1										1	20								1						0	1					1	8	0	0	1	1	1		10													(skill('Zeal'.blvl)+skill('Crucify'.blvl)+skill('Vengeance'.blvl)+skill('Judgement'.blvl)+skill('Arrow of Confession'.blvl)+skill('Sacred Piercer'.blvl))*par8		lvl/2+skill('Holy Bolt'.blvl)/4+skill('Blessed Hammer'.blvl)/4+skill('Fist of the Heavens'.blvl)/4		(lvl*(lvl+10)/3)*(100+clc4)/100		6	radius	1	additional radius per level	10	slow	2	slow per level	20	magic resist	1	magic resist per level			6	magic damage synergy									1				11		157		8															mag																					1023	20000	0
Meditation	120	pal	meditation		65																		73731	meditation	meditation		ln12	manarecoverybonus	ln34+skill('Redemption'.blvl)*par7	item_fastercastrate	ln78	passive_fire_pierce	(skill('Icon of Sin Passive'.lvl)>0)*lvl/2	passive_cold_pierce	(skill('Icon of Sin Passive'.lvl)>0)*lvl/2	passive_ltng_pierce	(skill('Icon of Sin Passive'.lvl)>0)*lvl/2	passive_pois_pierce	(skill('Icon of Sin Passive'.lvl)>0)*lvl/2																																																																																								1	7		none														xx																	1													24	20					Cleansing			1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level	100	% boost to mana recovery	20	% additional boost/level	0	?	0	?	20	fcr, mana rgn synergy	2	fcr/lvl									1								8																																				1023	20000	0
Fist of the Heavens	121	pal	fist of the heavens		80													fistoftheheavensdelay				handofgod					30																																																																			paladin_handofgod_cast															36						fistoftheheavensdelay												1	7		none												SC	SC	xx					4			1							1		1			1			4							30	20					Blessed Hammer							clc6		1	1					1	8	10	1	1											ln34	min heal	ln56	max heal	((100+((100+(skill('Holy Bolt'.blvl)+skill('SSummon Grizzly'.blvl)+skill('Blessed Hammer'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100))*(100+clc5)/100)-100	holy boly synergy	(skill('Fist of the Heavens Enhancement'.lvl)>0)?2:3		max(1,((stat('item_corrupted'.accr)>19)*stat('item_aegis_of_corruption'.accr)*100))		max(20,(100*100-100*stat('item_skill_cooldown'.accr))/100)						10	min hitpoints healed	10	hitpoints healed per level	20	max hitpoints healed	20	hitpoints healed per level			5	damage synergy									1								8															mag	30	30	50	70	100	120	40	40	60	80	110	140	((100+((100+(skill('Holy Bolt'.blvl)+skill('SSummon Grizzly'.blvl)+skill('Blessed Hammer'.blvl))*par8)*(100+stat('passive_mag2_mastery'.accr))/100-100))*(100+clc5)/100)-100								512	8000	0
Fanaticism	122	pal	fanaticism		65																		73731	fanaticism	fanaticism		ln12	attackrate	15+lvl*2/3+skill('Zeal'.blvl)/2	item_tohit_percent	toht+skill('Arrow of Confession'.blvl)*par7	damagepercent	ln56+(skill('Judgement'.blvl)+skill('Sacred Piercer'.blvl))*par8																																																																																													1	1	8		none														A1																	1													30	20					Might			1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level	10	min% boost			50	% damage boost	10	% damage bonus per level	5	ar synergy	5	damage synergy									1	40	5						8																																				1023	20000	0
Conviction	123	pal	conviction		66																		41603	conviction	conviction		"min(ln12,30)"	armor_override_percent	-dm78	fireresist	-(skill('Holy Fire'.blvl)+lvl+44)	coldresist	-(skill('Holy Freeze'.blvl)+lvl+44)	lightresist	-(skill('Holy Shock'.blvl)+lvl+44)																																																																																												1	6		none														xx	5		1														1													30	20					Holy Shock			1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level	1	% resist reduction	1	% resist reduction per level	26	% resist reduction	51	% resist reduction per level	10	min % AC reduction	50	max % AC reduction									1								8																																				1023	20000	0
Redemption	124	pal	redemption		82																		4354	redemption			ln12																																																																																								redemption												1	0		none														xx																	1													30	20					Vigor			1						0	1					0	8	0	0	1	1	1		10							dm34	chance to redeem	ln56+(skill('Prayer'.blvl)*par8)	hp gain	ln56+(skill('Meditation'.blvl)*par7)	mana gain							15	radius	1	additional radius per level	10	min % chance redeem	100	max % chance redeem	30	HP and mana gained	10	HP and mana gained/level	10	mana gain synergy	10	hp gain synergy									1								8																																				1023	20000	0
Salvation	125	pal	salvation		65																		73731	resistall	resistall		ln12	fireresist	dm34+skill('Resist Fire'.blvl)*par8	coldresist	dm34+skill('Resist Cold'.blvl)*par8	lightresist	dm34+skill('Resist Lightning'.blvl)*par8																																																																																													1	1	8		none														xx																	1													30	20								1						0	1					0	8	0	0	1	1	1		10																			15	radius	1	additional radius per level	0	min % resist	120	max % resist							2	resist synergy									1								8																																				1023	20000	0
Bash	126	bar	bash	6	11													obliterate	obliterate	obliterate							6+lvl/6																																																																				barbarian_grunt_small_1	1													19						obliterate	obliterate	obliterate										1	7		h2h		mele										A1	A1	A1				1		1	1								1		1			1			4		1					18	20					Concentrate									1	1					1	6	4	1	1											1	# of missiles					max((((skill('Bash'.blvl)+skill('Sword Mastery'.blvl))>39)?2:3),8-lvl/10)						180	Damage % base	35	Damage % per level							5	conversion synergy	15	hit synergy	10	damage synergy									1	15		lvl*15+skill('Concentrate'.blvl)*par7					8	96																																			256	2000	0
Sword Mastery	127	bar	sword mastery																																											swordmastery	mele		passive_mastery_melee_th	ln12*(100+blvl*3)/100	passive_mastery_melee_dmg	ln34*(100+blvl*3)/100	passive_mastery_melee_crit	dm56*(100+blvl*3)/100																																																																									1	0		none		mele										SC	SC	SC				1													1													1	20														0	0					0	8	0	0	1		1						1															20	Attack % base	8	Attack % per level	20	Damage % base	6	damage % per level	0	critical%	30	critical%													1								8																																				768	8000	0
Axe Mastery	128	bar	axe mastery	39	11													thunderlightningmain	thunderlightningmain	thunderlightningmain				thunderlightning				passive_ltng_pierce	10+lvl*2/5+skill('SNova'.blvl)*par5																																																																																19						thunderlightningmain	thunderlightningmain	thunderlightningmain										1	4		h2h		mele										A1	A1	xx				1		1	1								1		1			1			4		1					1	20														1	1					1	7	4	1	1											1+lvl/20+skill('Increased Stamina'.blvl)/par6	# of missiles	50+skill('Pole Arm Mastery'.blvl)*par7				(((skill('Axe Mastery'.blvl)+skill('SThunder Storm Bar'.blvl))>39)*(stat('randomgenerator'.accr)>500))?1:4														1	enemy lightning resist synergy	20	levels per trail synergy	5	duration synergy	15	ar synergy									1	15		lvl*15+skill('Sword Mastery'.blvl)*par8					8	32														ltng																					256	2000	0
Mace Mastery	129	bar	mace mastery												ancientscall																																																																																barbarian_command_1										light_cast_1									ancientscall													1	4		none												SC	SC	SC				1	4				1								1			1							sorceress_cast_lightning	light_cast_1		18	20					SNova									1	1					1	8	10	1	1																																					6	damage synergy									1								8															ltng	1						10	10	15	20	30	40	(skill('Sword Mastery'.blvl)+skill('Axe Mastery'.blvl)+skill('SNova'.blvl)+skill('Pole Arm Mastery'.blvl)+skill('SThunder Storm Bar'.blvl))*par8								512	4000	0
Howl	130	bar	howl												howl								3		howl	min(150,ln56)		magicresist	-ln12/2	armor_override_percent	-ln34/2																																																																barbarian_battleorders_1																			howl													1	0		none												SC	SC	xx				1													1			1										24	20					Taunt			1				clc6		1	1					1	8	4	1	1																					max(30,(150*100-150*stat('item_skill_cooldown'.accr))/100)		40	magic resist debuff	1	magic resist debuff per level	40	defense	1	defense per level	50	duration	2	duration/level													1								8																													50	10	10	10				512	4000	0
Find Potion	131	bar	find potion	34	72																																																																																								1		barbarian_findobject_1							barbarian_findheart_1						28	40																		1	0		h2h												SC	SC	xx				1				1		4	1						1			1			3		1					18	20								1						1	1					1	8	7	0	1											dm12	chance											5	min chance to find heart	100	max chance to find heart	100	% chance high quality	100	% chance magic item							0	chance synergy									1								8																																				512	4000	0
Leap	132	bar	leap	41	78													leapknockback					3		battlecry	50+lvl*5		damageresist	-(10+lvl/3)																																																																1		barbarian_leap_1													30	44						leapknockback												1	0		none												SQ	A1	xx	13		1		4												1													1	20														1	1					1	7	4	1	1													par7+lvl*2+skill('Leap Attack'.blvl)*par8	Leap Speed %																	4	Minimum Airborn Frames			150	Leap Speed %	5	leap speed									1								8																																				256	2000	0
Axe Swarm	133	bar	axe swarm	39	11													axeswarm	axeswarm	axeswarm				skilldamagestate		50	max(20,10+lvl/3)	item_crushingblow	skill('Increased Stamina'.blvl)*par7	lifeonstriking	skill('Increased Speed'.blvl)/4																																																																														19						axeswarm	axeswarm	axeswarm										1	5		h2h		1hsw										A1	A1	xx				1		1	1								1		1			1			4		1					1	20														1	1					1	6	4	1	1											1	# of missiles	50	buff duration			((skill('Axe Swarm'.blvl)+skill('Sword Mastery'.blvl))>39)?6:8																		2	crushing blow synergy	15	ar synergy									1	15		lvl*15+skill('Frenzy'.blvl)*par8					8	38																																			256	2000	0
Pole Arm Mastery	134	bar	pole arm mastery		28													plasmaraincenter	plasmaraincenter	plasmaraincenter																																																																											barbarian_shout_1										light_cast_1				28						plasmaraincenter	plasmaraincenter	plasmaraincenter										1	7		none												SC	SC	xx					4				1								1			1							sorceress_cast_lightning	light_cast_1		24	20					Mace Mastery							clc6		1	1					1	8	23	1	1											par1	radius	par3	frequency					max(1,((stat('item_corrupted'.accr)>19)*stat('item_aegis_of_corruption'.accr)*100))		max(40,(200*100-200*stat('item_skill_cooldown'.accr))/100)		7	radius			3	Missile delay	0	Change duration in Missiles.xls							5	damage synergy									1								8															ltng	1						20	20	30	40	55	70	((100+(skill('Sword Mastery'.blvl)+skill('Axe Mastery'.blvl)+skill('Mace Mastery'.blvl)+skill('SNova'.blvl)+skill('SThunder Storm Bar'.blvl))*par8)*(100+clc5)/100)-100								512	4000	0
Throwing Mastery	135	bar	throwing mastery																																											throwingmastery	thro		passive_mastery_throw_th	ln12*(100+blvl*3)/100	passive_mastery_throw_dmg	ln34*(100+blvl*3)/100	passive_mastery_throw_crit	dm56*(100+blvl*3)/100	item_pierce	ln78/2*(100+blvl*3)/100	passive_mastery_noconsume	ln78/2*(100+blvl*3)/100	passive_mastery_replenish_oncrit	1																																																																			1	0		rng												SC	SC	xx				1													1													1	20														0	0					0	8	0	0	1								1															25	Attack Rating % baseline	8	Attack Rating % per level	25	Damage % baseline	6	Damage % per level	0	% chance for Critical Hit Min	30	% chance for Critical Hit Max	20	% chance to Pierce Min	1	% chance to Pierce per level	0	% chance for No Consume Min	66	% chance for No Consume Max	1	"Replenish Quantity on crit? (0=disabled, 1=enabled)"			1								8																																				512	4000	0
Find Rejuvenation	136	bar	find rejuvenation	33	69																																																																																								1		barbarian_findobject_1							barbarian_findheart_1						26	38																		1	0		h2h												SC	SC	xx				1				1		4	1						1													24	20														1	1					1	8	2	0	1											ln12	% chance to find any potion											25	% chance to find any potion Min	3	% chance to find any potion per level	0	% chance to find Mana potion	100	% chance to find Rejuvenation potion																	1								8																																				512	4000	0
Taunt	137	bar	taunt												taunt								3		taunt	min(150,ln56)		velocitypercent	-ln12	attackrate	-ln34	normal_damage_reduction	-clc5																																																														barbarian_shout_1																			taunt													1	0		none												SC	SC	xx				1													1			1										18	20					War Cry			1				clc6		1	1					1	8	4	1	1																			ln78*(100+(skill('Shout'.blvl)+skill('Battle Orders'.blvl)+skill('Battle Command'.blvl))*5)/100		max(30,(150*100-150*stat('item_skill_cooldown'.accr))/100)		30	movement speed debuff	2	ms debuff per level	20	attack speed debuff	2	attack speed debuff per level	50	duration	2	duration/level	5	red-dmg debuff	5	red-dmg debuff per level									1								8																																				512	4000	0
