name	version	compactsave	rarity	spawnable	minac	maxac	speed	reqstr	reqdex	block	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	normcode	ubercode	ultracode	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	stackable	minstack	maxstack	spawnstack	Transmogrify	TMogType	TMogMin	TMogMax	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight
Serpentskin Armor	0	0	1	1	172	190	0	43	0	0	24	0	31	2	24	5620	25987	xea	xea		320	lea	lea	xea	yea	1	2	3	1	4	2	flplea	invlea					1		1	1	0	0	0	0	0	0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Demonhide Armor	0	0	1	1	191	211	0	50	0	0	28	0	32	2	25	6136	30844	xla	xla		320	hla	hla	xla	yla	1	2	3	1	4	2	flphla	invhla		invxla	1	1	1		1	1	0	0	0	0	0	0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Trellised Armor	0	0	1	1	212	234	0	61	0	0	32	0	35	2	25	7197	39463	xtu	xtu		320	stu	stu	xtu	ytu	1	2	3	1	4	2	flpstu	invstu	invxtuu		1			1	1	1	0	0	0	0	0	0	xxx			tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Linked Mail	0	0	1	1	235	259	2	74	0	0	26	0	37	2	25	8325	50468	xng	xng		320	rng	rng	xng	yng	1	2	3	1	5	2	flprng	invrng		invclk			1	1	1	1	0	0	0	0	0	0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Tigulated Mail	0	0	1	1	260	286	3	86	0	0	36	0	39	2	25	9280	60399	xcl	xcl		320	scl	scl	xcl	ycl	1	2	3	1	6	2	flpscl	invscl			1	1	1	1	1	1	0	0	0	0	0	0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Mesh Armor	0	0	1	1	287	315	2	92	0	0	45	0	40	2	25	10680	73011	xhn	xhn		320	chn	chn	xhn	yhn	1	2	3	1	5	2	flpchn	invchn		invrob	1	1	1	1	2	2	0	0	0	0	0	0	xxx			tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Cuirass	0	0	1	1	316	346	1	65	0	0	50	0	43	2	25	10590	77932	xrs	xrs		320	brs	brs	xrs	yrs	1	2	3	1	4	2	flpbrs	invbrs		invxrss			2		2	2	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Russet Armor	0	0	1	1	317	351	2	97	0	0	30	0	45	2	25	12925	99779	xpl	xpl		320	spl	spl	xpl	ypl	1	2	3	1	5	2	flpspl	invspl		invgth	1	1	2	1	1	1	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Templar Coat	0	0	1	1	369	407	3	118	0	0	60	0	49	2	25	13782	115767	xlt	xlt		320	plt	plt	xlt	ylt	1	2	3	1	6	2	flpplt	invplt		invful	2	2	2	2	1	1	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Sharktooth Armor	0	0	1	1	408	448	2	103	0	0	48	0	52	2	25	13813	125355	xld	xld		320	fld	fld	xld	yld	1	2	3	1	5	2	flpfld	invfld		invaaru	1	1	2	2	2	2	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Embossed Plate	0	0	1	1	449	491	2	125	0	0	55	0	54	2	25	16754	165218	xth	xth		320	gth	gth	xth	yth	1	2	3	1	5	2	flpgth	invgth		invltp	2	2	1	2	2	2	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Chaos Armor	0	0	1	1	507	553	3	140	0	0	70	0	56	2	25	19550	213696	xul	xul		320	ful	ful	xul	yul	1	2	3	1	6	2	flpful	invful	invfulu	invfulu	2	2	2	2	2	2	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Ornate Armor	0	0	1	1	563	613	2	170	0	0	60	0	58	2	25	23762	270898	xar	xar		320	aar	aar	xar	yar	1	2	3	1	5	2	flpaar	invaar	invaaru	invaaru	1	2	2	2	2		0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Mage Plate	0	0	1	1	332	368	1	55	0	0	60	0	55	2	25	14570	150593	xtp	xtp		320	ltp	ltp	xtp	ytp	1	2	3	1	4	2	flpltp	invltp			2		1	1	2	2	0	0	0	0	0	0	xxx			tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0		0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Defender	0	0	1	1	60	75	0	38	0	3	68	0	29	2	22	2820	10890	xuc	xuc		320	buc	buc	xuc	yuc	7	2	2	1	3	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	0	xxx			shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0		0	1	0	22	30	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Round Shield	0	0	1	1	75	93	0	53	0	5	64	0	32	2	25	3181	14217	xml	xml		320	buc	sml	xml	yml	7	2	2	1	3	2	flpsml	invsml	invxmlu	invxmlu							0	0	0	0	0	0	xxx			shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0		0	1	0	22	38	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Scutum	0	0	1	1	90	111	1	71	0	4	62	0	37	2	25	3692	19795	xrg	xrg		320	lrg	lrg	xrg	yrg	7	2	3	1	4	2	flplrg	invlrg	invxrgu	invxrgu							0	0	0	0	0	0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0		0	1	0	32	40	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Dragon Shield	0	0	1	1	120	147	1	91	0	5	76	0	41	2	25	4136	24993	xit	xit		320	kit	kit	xit	yit	7	2	3	1	4	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0		0	1	0	34	54	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Pavise	0	0	1	1	150	183	2	133	0	5	72	0	47	2	25	4943	36062	xow	xow		320	tow	tow	xow	yow	7	2	3	1	4	2	flptow	invtow	invtowu	invtowu							0	0	0	0	0	0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0		0	1	0	32	48	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Ancient Shield	0	0	1	1	165	204	5	110	0	4	80	0	53	2	25	6152	54042	xts	xts		320	kit	gts	xts	yts	7	2	4	1	4	2	flpgts	invgts	invgtsu	invgtsu							0	0	0	0	0	0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0		0	1	0	38	46	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Demonhide Gloves	0	0	1	1	67	87	0	20	0	0	12	0	31	2	21	2120	9262	xlg	xlg		320	lgl	lgl	xlg	ylg	16	2	2	1	2	0	flplgl	invlgl									0	0	0	0	0	0	xxx			glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0		0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Sharkskin Gloves	0	0	1	1	76	100	0	20	0	0	14	0	34	2	25	2677	11883	xvg	xvg		320	vgl	vgl	xvg	yvg	16	2	2	1	2	0	flpvgl	invvgl									0	0	0	0	0	0	xxx			glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0		0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Heavy Bracers	0	0	1	1	85	113	0	58	0	0	16	0	38	2	25	3014	15600	xmg	xmg		320	mgl	mgl	xmg	ymg	16	2	2	1	2	0	flpmgl	invmgl		invxgl	1	1					0	0	0	0	0	0	xxx			glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0	0		0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Battle Gauntlets	0	0	1	1	94	126	0	88	0	0	18	0	45	2	25	3364	21378	xtg	xtg		320	mgl	tgl	xtg	ytg	16	2	2	1	2	0	flptgl	invtgl			1	1					0	0	0	0	0	0	xxx			glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0		0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
War Gauntlets	0	0	1	1	103	139	0	110	0	0	24	0	51	2	25	3862	29218	xhg	xhg		320	hgl	hgl	xhg	yhg	16	2	2	1	2	0	flphgl	invhgl			2	2					0	0	0	0	0	0	xxx			glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0		0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Demonhide Boots	0	0	1	1	65	85	0	20	0	0	12	0	31	2	24	2307	9262	xlb	xlb		320	lbt	lbt	xlb	ylb	16	2	2	1	2	1	flplbt	invlbt									0	0	0	0	0	0	xxx			boot		item_boots	12	item_boots	0	0	5	0	0	0	0		0	6	0	39	69	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Sharkskin Boots	0	0	1	1	76	100	0	47	0	0	14	0	34	2	25	2674	11857	xvb	xvb		320	vbt	vbt	xvb	yvb	16	2	2	1	2	1	flpvbt	invvbt									0	0	0	0	0	0	xxx			boot		item_boots	12	item_boots	0	0	5	0	0	0	0		0	6	0	42	75	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Mesh Boots	0	0	1	1	87	115	0	65	0	0	16	0	38	2	25	3013	15592	xmb	xmb		320	mbt	mbt	xmb	ymb	16	2	2	1	2	1	flpmbt	invmbt						1			0	0	0	0	0	0	xxx			boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0	0		0	6	0	35	78	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Battle Boots	0	0	1	1	98	130	0	95	0	0	18	0	45	2	25	3363	21368	xtb	xtb		320	mbt	tbt	xtb	ytb	16	2	2	1	2	1	flptbt	invtbt						1			0	0	0	0	0	0	xxx			boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0		0	6	0	56	96	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
War Boots	0	0	1	1	109	145	0	125	0	0	24	0	51	2	25	3860	29196	xhb	xhb		320	hbt	hbt	xhb	yhb	16	2	2	1	2	1	flphbt	invhbt						2			0	0	0	0	0	0	xxx			boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0		0	6	0	59	120	100	100	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Demonhide Sash	0	0	1	1	75	95	0	20	0	0	12	0	31	2	24	2326	9310	zlb	zlb		320	lbl	lbl	zlb	alb	16	2	1	1	2	2	flplbl	invlbl									0	0	0	0	0	0	xxx			belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	6	0		0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Sharkskin Belt	0	0	1	1	84	108	0	20	0	0	14	0	34	2	25	2587	11351	zvb	zvb		320	vbl	vbl	zvb	avb	16	2	1	1	2	2	flpvbl	invvbl									0	0	0	0	0	0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	6	0		0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Mesh Belt	0	0	1	1	93	121	0	58	0	0	16	0	38	2	25	2893	14782	zmb	zmb		320	mbl	mbl	zmb	bmb	16	2	1	1	2	2	flpmbl	invmbl		invmbl							0	0	0	0	0	0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	6	0		0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Battle Belt	0	0	1	1	102	134	0	88	0	0	18	0	45	2	25	3214	20148	ztb	ztb		320	mbl	tbl	ztb	atb	16	2	1	1	2	2	flptbl	invtbl									0	0	0	0	0	0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	6	0		0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
War Belt	0	0	1	1	111	147	0	110	0	0	24	0	51	2	25	3793	28564	zhb	zhb		320	hbl	hbl	zhb	ahb	16	2	1	1	2	2	flphbl	invhbl									0	0	0	0	0	0	xxx			belt		item_belt	12	item_belt	0	0	5	0	0	6	0		0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Grim Helm	0	0	1	1	97	127	0	58	0	0	40	0	47	2	25	5960	44868	xh9	xh9		320	bhm	bhm	xh9	yh9	0	2	2	1	3	1	flpbhm	invbhm	invbhmu	invbhmu							0	0	0	0	0	0	xxx			helm		item_helm	12	item_helm	0	0	5	0	2	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Grim Shield	0	0	1	1	135	165	0	58	0	5	70	0	44	2	25	6143	43440	xsh	xsh		320	bsh	bsh	xsh	ysh	7	2	3	1	2	2	flpbsh	invbsh	invxshu	invxshu							0	0	0	0	0	0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0		0	1	0	40	52	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Barbed Shield	0	0	1	1	105	129	0	65	0	3	55	0	36	2	25	4144	22790	xpk	xpk		306	spk	spk	xpk	ypk	7	2	3	1	3	2	flpspk	invspk	invxpku	invxpku							0	0	0	0	0	0	xxx			shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0		0	1	0	40	76	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1		
Expansion									0					2		0	0																													0	0	xxx																																																																																																																					
Wolf Head	100	0	1	1	12	18	0	16	0	0	20	0	4	2	3	91	1217	dr1	dr1		320	dr1	dr1	dr6	drb	0	2	2	1	3	1	flpdr1	invdr1									0	0	0	0	0	0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	dr6	drb	1		
Hawk Helm	100	0	1	1	18	30	0	20	0	0	20	0	8	2	6	166	1960	dr2	dr2		320	dr4	dr2	dr7	drc	0	2	2	1	3	1	flpdr4	invdr2									0	0	0	0	0	0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255	2	4	2	4	20					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	dr7	drc	1		
Antlers	100	0	1	1	24	39	0	24	0	0	20	0	16	2	12	708	3981	dr3	dr3		320	dr3	dr3	dr8	drd	0	2	2	1	3	1	flpdr3	invdr3									0	0	0	0	0	0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255					255	5	8	0	dr8	drd	1		
Falcon Mask	100	0	1	1	30	48	0	28	0	0	20	0	20	2	15	833	4900	dr4	dr4		320	dr4	dr4	dr9	dre	0	2	2	1	3	1	flpdr4	invdr4									0	0	0	0	0	0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255	5	8	0	dr9	dre	1		
Spirit Mask	100	0	1	1	36	57	0	30	0	0	20	0	24	2	18	1417	7318	dr5	dr5		320	dr1	dr5	dra	drf	0	2	2	1	3	1	flpdr1	invdr5									0	0	0	0	0	0	xxx			pelt		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255					255			1	3	20	5	8	0	dra	drf	1		
Jawbone Cap	100	0	1	1	13	19	0	25	0	0	25	0	4	2	3	80	1187	ba1	ba1		320	ba1	ba1	ba6	bab	0	2	2	1	3	1	flpba1	invba1									0	0	0	0	0	0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	ba6	bab	1		
Fanged Helm	100	0	1	1	27	39	0	35	0	0	35	0	8	2	6	187	2062	ba2	ba2		320	ba1	ba2	ba7	bac	0	2	2	1	3	1	flpba1	invba2									0	0	0	0	0	0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255	2	4	2	4	20					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	ba7	bac	1		
Horned Helm	100	0	1	1	40	55	0	45	0	0	45	0	16	2	12	687	3843	ba3	ba3		320	ba3	ba3	ba8	bad	0	2	2	1	3	1	flpba3	invba3		invghm							0	0	0	0	0	0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255					255	5	8	0	ba8	bad	1		
Assault Helmet	100	0	1	1	54	72	0	55	0	0	50	0	20	2	15	855	4920	ba4	ba4		320	ba5	ba4	ba9	bae	0	2	2	1	3	1	flpba5	invba4									0	0	0	0	0	0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255	5	8	0	ba9	bae	1		
Avenger Guard	100	0	1	1	67	88	0	65	0	0	55	0	24	2	18	1446	7410	ba5	ba5		320	ba5	ba5	baa	baf	0	2	2	1	3	1	flpba5	invba5									0	0	0	0	0	0	xxx			phlm		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255					255			1	3	20	5	8	0	baa	baf	1		
Targe	100	0	1	1	6	12	0	16	0	3	20	0	4	2	1	96	1579	pa1	pa1		304	pa1	pa1	pa6	pab	7	2	2	1	4	2	flppa1	invpa1									0	0	0	0	0	0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	1	0	0		0	1	0	4	12	100		0	3					255					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	pa6	pab	1		
Rondache	100	0	1	1	13	25	0	26	0	4	30	0	8	2	6	245	2564	pa2	pa2		304	pa1	pa2	pa7	pac	7	2	2	1	4	2	flppa1	invpa2									0	0	0	0	0	0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	2	0	0		0	1	0	4	16	100		0	3					255					255					255					255	2	4	2	4	20					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	pa7	pac	1		
Heraldic Shield	100	0	1	1	27	42	5	40	0	5	40	0	16	2	12	704	3905	pa3	pa3		304	pa3	pa3	pa8	pad	7	2	4	1	4	2	flppa3	invpa3									0	0	0	0	0	0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	3	0	0		0	1	0	6	18	100		0	3					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255					255	5	8	0	pa8	pad	1		
Aerin Shield	100	0	1	1	43	61	5	50	0	5	50	0	20	2	15	1289	6694	pa4	pa4		304	pa3	pa4	pa9	pae	7	2	4	1	4	2	flppa3	invpa4									0	0	0	0	0	0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	4	0	0		0	1	0	8	20	100		0	3					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255	5	8	0	pa9	pae	1		
Crown Shield	100	0	1	1	63	84	0	65	0	6	60	0	24	2	18	1733	11509	pa5	pa5		304	pa5	pa5	paa	paf	7	2	2	1	4	2	flppa5	invpa5									0	0	0	0	0	0	xxx			ashd		item_metalshield	12	item_metalshield	0	0	5	0	5	0	0		0	1	0	8	24	100		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	20					255					255			1	2	20	5	8	0	paa	paf	1		
Preserved Head	100	0	1	1	4	10	0	12	0	2	20	0	4	2	1	32	1157	ne1	ne1		305	ne1	ne1	ne6	neb	10	2	2	1	3	2	flpne1	invne1									0	0	0	0	0	0	xxx			head		item_head	12	item_head	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	ne6	neb	1		
Zombie Head	100	0	1	1	9	21	0	14	0	2	20	0	8	2	6	104	1834	ne2	ne2		305	ne2	ne2	ne7	neg	10	2	2	1	3	2	flpne2	invne2									0	0	0	0	0	0	xxx			head		item_head	12	item_head	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255	2	4	2	4	20					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	ne7	nec	1		
Unraveller Head	100	0	1	1	13	28	0	18	0	3	20	0	16	2	12	267	3097	ne3	ne3		305	ne3	ne3	ne8	ned	10	2	2	1	3	2	flpne3	invne3									0	0	0	0	0	0	xxx			head		item_head	12	item_head	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255					255	1	8	0	ne8	ned	1		
Gargoyle Head	100	0	1	1	18	36	0	20	0	3	20	0	20	2	15	541	4165	ne4	ne4		305	ne3	ne4	ne9	nee	10	2	2	1	3	2	flpne3	invne4									0	0	0	0	0	0	xxx			head		item_head	12	item_head	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255			2	3	20					255					255					255					255					255					255					255					255	1	8	0	ne9	nee	1		
Demon Head	100	0	1	1	22	43	0	25	0	3	20	0	24	2	18	868	5668	ne5	ne5		305	ne2	ne5	nea	nef	10	2	2	1	3	2	flpne2	invne5									0	0	0	0	0	0	xxx			head		item_head	12	item_head	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255			1	3	20					255					255			1	3	20	5	8	0	nea	nef	1		
Circlet	100	0	1	1	35	45	0	25	0	0	40	0	24	2	16	2469	11957	ci0	ci0	6	320	lit	ci0	ci1	ci3	0	2	2	1	3	1	flpci0	invci0									0	0	0	0	0	0	xxx			circ		item_helm	12	item_helm	0	0	5	0	0	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255			2	4	20					255					255					255					255					255					255					255					255					255	1	8	0	ci1	ci3	1		
Coronet	100	0	1	1	70	90	0	40	0	0	30	0	53	2	39	6125	72656	ci1	ci1	12	320	lit	ci0	ci1	ci3	0	2	2	1	3	1	flpci1	invci1									0	0	0	0	0	0	xxx			circ		item_helm	12	item_helm	0	0	5	0	1	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
Tiara	100	0	1	1	130	160	0	45	0	0	25	0	70	2	52	8125	113750	ci2	ci2	15	320	lit	cix	ci4	ci2	0	2	2	1	4	1	flpci1	invci2									0	0	0	0	0	0	xxx			circ		item_helm	12	item_helm	0	0	5	0	2	0	0		0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	8	0	xxx	xxx	1		
